name;xcoord;ycoord
ReE-El-225-1;238960.608844175;5434325.59457269
ReE-El-225-2;238843.422528923;5434281.92242137
ReE-El-225-3;238827.874134987;5434267.30395262
ReE-El-225-4;238806.169850462;5434276.93889127
ReE-El-225-5;238796.377615639;5434268.96091545
ReE-El-50-1;238916.41996143;5434480.054015
ReE-El-50-2;238768.019968505;5434445.72953281
ReE-El-50-3;238826.908536693;5434449.05626055
ReE-El-50-4;238770.950363979;5434437.81713003
ReE-El-50-5;238810.653769332;5434447.10533922
ReE-El-75-1;238881.545727041;5434442.16164179
ReE-El-75-2;238926.097103884;5434445.01867991
ReE-El-75-3;238910.15022679;5434444.74745666
ReE-El-75-4;238785.208120914;5434408.65992364
ReE-El-75-5;238878.029598613;5434432.28108428
ReE-Mo-225-1;238647.267928653;5434212.58838501
ReE-Mo-225-2;238641.775985811;5434215.78653359
ReE-Mo-225-3;238572.280056777;5434190.27596773
ReE-Mo-225-4;238675.260733258;5434238.63083521
ReE-Mo-225-5;238680.556443903;5434225.2264706
ReE-Mo-50-1;238645.368109159;5434390.16849021
ReE-Mo-50-3;238693.148656175;5434389.18184081
ReE-Mo-50-4;238714.281876211;5434418.3280159
ReE-Mo-50-5;238711.445589076;5434422.76337533
ReE-Mo-50-6;238720.668552907;5434402.42468725
ReE-Mo-75-1;238656.408337887;5434371.5726063
ReE-Mo-75-2;238602.123991448;5434350.89024886
ReE-Mo-75-3;238683.52712832;5434356.3468652
ReE-Mo-75-4;238579.731519005;5434332.71836961
ReE-Mo-75-5;238537.252136291;5434325.16850104
ReE-Pr-225-1;238529.992776905;5434178.06965735
ReE-Pr-225-2;238432.779860495;5434155.35459516
ReE-Pr-225-3;238546.326202286;5434192.57624207
ReE-Pr-225-4;238409.071573944;5434134.68035885
ReE-Pr-225-5;238508.141249325;5434170.12791416
ReE-Pr-50-1;238423.896689281;5434329.60199672
ReE-Pr-50-2;238469.838818214;5434326.28083056
ReE-Pr-50-3;238371.981754442;5434311.40929825
ReE-Pr-50-4;238467.440581027;5434331.57419944
ReE-Pr-50-5;238321.710532439;5434299.3166958
ReE-Pr-75-1;238323.025625334;5434270.66545747
ReE-Pr-75-2;238431.57277339;5434276.11220075
ReE-Pr-75-3;238311.892172441;5434264.9554473
ReE-Pr-75-4;238423.16357338;5434288.18288958
ReE-Pr-75-5;238389.74054182;5434265.35592953
ReO-El-225-1;237681.022233045;5434016.82709601
ReO-El-225-2;237750.485011866;5434027.70423973
ReO-El-225-3;237718.418491829;5434011.70222741
ReO-El-225-4;237682.815194372;5434019.59233234
ReO-El-225-5;237679.930710462;5434005.86345264
ReO-El-50-1;237849.83553782;5434232.49375335
ReO-El-50-2;237789.84249577;5434219.80891556
ReO-El-50-3;237782.41307815;5434203.22623055
ReO-El-50-4;237795.792876691;5434218.78779197
ReO-El-50-5;237781.4738657;5434215.62123142
ReO-El-75-1;237691.453643492;5434170.63561563
ReO-El-75-2;237798.385241305;5434188.15029648
ReO-El-75-3;237723.681195623;5434172.69459063
ReO-El-75-4;237747.911552965;5434183.36533504
ReO-El-75-5;237699.93835264;5434179.80088996
ReO-Mo-225-1;237902.125198611;5434059.16150673
ReO-Mo-225-2;237918.572854431;5434055.27820188
ReO-Mo-225-3;237981.487133631;5434072.16407255
ReO-Mo-225-4;238028.224845162;5434061.769239
ReO-Mo-225-5;237988.558750109;5434056.93862991
ReO-Mo-50-1;237988.958484939;5434251.11672988
ReO-Mo-50-2;238048.093930649;5434258.81816908
ReO-Mo-50-4;237998.758844566;5434237.60503822
ReO-Mo-50-5;238024.232838038;5434249.08795058
ReO-Mo-50-8;237995.160106922;5434248.17446935
ReO-Mo-75-1;237893.585210966;5434208.59993397
ReO-Mo-75-2;238012.893342236;5434220.59028602
ReO-Mo-75-3;237876.42330989;5434203.49120346
ReO-Mo-75-4;238075.235514007;5434233.1083976
ReO-Mo-75-5;238037.098287998;5434208.82682797
ReO-Pr-225-1;238219.791411769;5434097.9810929
ReO-Pr-225-2;238167.959360072;5434100.66922928
ReO-Pr-225-3;238226.122233437;5434106.32486428
ReO-Pr-225-4;238301.736970679;5434120.72007744
ReO-Pr-225-5;238247.466633642;5434117.1982185
ReO-Pr-50-1;238290.201669327;5434285.72599095
ReO-Pr-50-2;238184.015272107;5434272.57852444
ReO-Pr-50-3;238124.182953367;5434263.15699864
ReO-Pr-50-4;238208.830576863;5434278.24703117
ReO-Pr-50-5;238213.266193464;5434258.7919228
ReO-Pr-75-1;238234.171953477;5434246.96054682
ReO-Pr-75-2;238160.189880389;5434231.39405141
ReO-Pr-75-3;238265.342912983;5434238.74861899
ReO-Pr-75-4;238281.962861574;5434256.81356609
ReO-Pr-75-5;238267.625929889;5434264.74936455
RfE-El-225-1;241019.435918601;5435865.50084681
RfE-El-225-2;241129.134171092;5435994.94001972
RfE-El-225-3;241109.85348084;5435973.25418488
RfE-El-225-4;241008.762739951;5435870.26592224
RfE-El-225-5;241031.595961194;5435872.44140615
RfE-El-50-1;240981.100511204;5436071.63049273
RfE-El-50-2;240981.735159918;5436086.55224036
RfE-El-50-3;240866.668945374;5435974.78764309
RfE-El-50-4;240970.991931686;5436072.01615827
RfE-El-50-5;241021.190316448;5436117.27119676
RfE-El-75-1;240978.346529135;5436039.17178447
RfE-El-75-2;240949.608099467;5436025.4156668
RfE-El-75-3;240996.440413962;5436062.67098098
RfE-El-75-4;240927.736685194;5435993.29566846
RfE-El-75-5;240987.968640805;5436071.73347075
RfE-Mo-225-1;240931.648764413;5435785.66857192
RfE-Mo-225-2;240896.828343894;5435750.6733148
RfE-Mo-225-3;240897.290068214;5435730.25774608
RfE-Mo-225-4;240844.797984701;5435686.11096431
RfE-Mo-225-5;240989.862175926;5435831.33952603
RfE-Mo-50-1;240864.951213574;5435966.85589992
RfE-Mo-50-2;240820.379593198;5435932.00946931
RfE-Mo-50-3;240720.23784013;5435829.60720199
RfE-Mo-50-4;240731.330946967;5435838.01375657
RfE-Mo-50-5;240837.328706083;5435942.39338629
RfE-Mo-75-1;240884.545688348;5435936.73826292
RfE-Mo-75-2;240739.157937129;5435810.19751016
RfE-Mo-75-3;240845.732711074;5435895.87594851
RfE-Mo-75-4;240759.839242577;5435818.21383814
RfE-Mo-75-5;240768.771441675;5435813.42476019
RfE-Pr-225-1;240810.848757311;5435659.08406059
RfE-Pr-225-2;240789.292392381;5435636.54324901
RfE-Pr-225-3;240722.35747982;5435542.17047372
RfE-Pr-225-4;240712.55366161;5435560.31696262
RfE-Pr-225-5;240805.724197712;5435651.25516743
RfE-Pr-50-1;240570.356750096;5435665.55096104
RfE-Pr-50-2;240591.406543207;5435682.23237927
RfE-Pr-50-3;240646.273313124;5435733.4343179
RfE-Pr-50-4;240570.481137466;5435671.31833038
RfE-Pr-50-5;240603.689959232;5435676.9362839
RfE-Pr-75-1;240593.631449315;5435652.52143576
RfE-Pr-75-2;240610.228516776;5435647.32217384
RfE-Pr-75-3;240728.252025928;5435783.50509378
RfE-Pr-75-4;240602.713312548;5435650.69563671
RfE-Pr-75-5;240699.617659913;5435769.55764746
RfO-El-225-1;234878.124301367;5434048.80071647
RfO-El-225-2;234853.592280204;5434036.29971815
RfO-El-225-3;234912.01498611;5434030.23008578
RfO-El-225-4;234858.733319271;5434044.01331109
RfO-El-225-5;234815.439148059;5434038.96461713
RfO-El-50-1;234896.577446098;5434216.86864595
RfO-El-50-2;235009.341754675;5434203.7957939
RfO-El-50-3;234914.23860237;5434208.45292603
RfO-El-50-4;234947.499330353;5434197.63409261
RfO-El-50-5;234854.406962278;5434224.66135863
RfO-El-75-1;234995.130812288;5434182.56170518
RfO-El-75-2;234797.922960695;5434213.17612076
RfO-El-75-3;234961.209042181;5434178.00884798
RfO-El-75-4;234807.702542385;5434210.71701912
RfO-El-75-5;234872.69231034;5434205.23880006
RfO-Mo-225-1;235074.541001629;5434004.92083229
RfO-Mo-225-2;235071.954201254;5434003.97371782
RfO-Mo-225-3;235141.466531168;5434013.82255353
RfO-Mo-225-4;235028.700164779;5434030.79116022
RfO-Mo-225-5;235055.124831254;5434012.94772787
RfO-Mo-50-1;235084.41760039;5434192.67269046
RfO-Mo-50-2;235153.898357091;5434179.2802745
RfO-Mo-50-3;235141.157495664;5434185.35936338
RfO-Mo-50-4;235066.531258475;5434195.0056666
RfO-Mo-50-5;235053.00977121;5434182.93751228
RfO-Mo-75-1;235044.394461682;5434157.69576704
RfO-Mo-75-2;235190.755298891;5434144.40312909
RfO-Mo-75-3;235191.642152965;5434134.2913423
RfO-Mo-75-4;235216.418486805;5434150.65893192
RfO-Mo-75-5;235155.313275354;5434161.21724005
RfO-Pr-225-1;235289.600586814;5433969.99578964
RfO-Pr-225-2;235387.685771072;5433953.98887019
RfO-Pr-225-3;235262.29299465;5433991.07902441
RfO-Pr-225-4;235368.272329009;5433974.45379225
RfO-Pr-225-5;235281.107056968;5433983.18640493
RfO-Pr-50-1;235432.591696204;5434123.21387738
RfO-Pr-50-2;235237.84861518;5434152.52968625
RfO-Pr-50-3;235414.415098592;5434143.40534273
RfO-Pr-50-4;235411.369550325;5434142.05981222
RfO-Pr-50-5;235369.014734313;5434136.21097381
RfO-Pr-75-1;235246.008487018;5434133.69108765
RfO-Pr-75-2;235313.98307262;5434128.526976
RfO-Pr-75-3;235327.353668233;5434127.42683656
RfO-Pr-75-4;235305.507693081;5434140.45600484
RfO-Pr-75-5;235323.084178893;5434130.40905615
SiE-El-225-1;239828.979356669;5434806.71797431
SiE-El-225-2;239892.240054115;5434835.54173859
SiE-El-225-3;239739.680904682;5434743.92210058
SiE-El-225-4;239756.024718411;5434768.26274374
SiE-El-225-5;239737.602837904;5434746.46293018
SiE-El-50-1;239676.320467346;5434921.06426539
SiE-El-50-2;239621.589999079;5434877.42437267
SiE-El-50-3;239673.332970195;5434900.89607482
SiE-El-50-4;239671.345711661;5434922.92058388
SiE-El-50-5;239668.307794531;5434909.27298115
SiE-El-75-1;239700.728563617;5434909.92754182
SiE-El-75-2;239794.964680495;5434954.26234852
SiE-El-75-3;239750.293049915;5434931.00119762
SiE-El-75-4;239648.482452158;5434856.84552481
SiE-El-75-5;239793.523687516;5434958.24133898
SiE-Mo-225-1;239557.76454356;5434639.56695527
SiE-Mo-225-2;239589.440846235;5434648.30246996
SiE-Mo-225-3;239584.313312563;5434637.90547389
SiE-Mo-225-4;239587.796607743;5434635.18314445
SiE-Mo-225-5;239620.648801511;5434674.94831462
SiE-Mo-50-1;239612.292230045;5434861.82800164
SiE-Mo-50-2;239472.489028728;5434780.20478536
SiE-Mo-50-3;239509.812982034;5434803.46468175
SiE-Mo-50-4;239442.528069809;5434769.77187
SiE-Mo-50-5;239532.197353737;5434814.04770401
SiE-Mo-75-1;239514.825084967;5434781.02301699
SiE-Mo-75-2;239500.523376338;5434754.00225311
SiE-Mo-75-3;239488.27361035;5434761.92874365
SiE-Mo-75-4;239617.69929728;5434854.59306085
SiE-Mo-75-5;239580.479668887;5434815.50712421
SiE-Pr-225-1;239517.113727578;5434608.01599114
SiE-Pr-225-2;239432.263563336;5434555.51255257
SiE-Pr-225-3;239401.358776178;5434506.66461163
SiE-Pr-225-4;239367.129237365;5434497.87329991
SiE-Pr-225-5;239408.103995967;5434520.46138511
SiE-Pr-50-1;239278.954950467;5434638.79314515
SiE-Pr-50-2;239393.812317577;5434733.47320382
SiE-Pr-50-4;239385.395383703;5434707.41768311
SiE-Pr-50-5;239354.624857833;5434689.55971387
SiE-Pr-50-6;239429.099019923;5434740.2821427
SiE-Pr-75-1;239333.863795637;5434655.16900224
SiE-Pr-75-2;239311.953872722;5434637.78288169
SiE-Pr-75-3;239430.133886066;5434715.49519967
SiE-Pr-75-4;239314.491587772;5434637.78895756
SiE-Pr-75-5;239341.250491627;5434674.11785532
SiO-El-225-1;236583.385080691;5433959.31616636
SiO-El-225-2;236468.166017472;5433961.90444781
SiO-El-225-3;236538.232912112;5433959.50133809
SiO-El-225-4;236499.780459827;5433973.10120281
SiO-El-225-5;236481.888931146;5433958.43165838
SiO-El-50-1;236637.639925249;5434138.32507785
SiO-El-50-2;236575.891852114;5434139.08774135
SiO-El-50-4;236658.732887664;5434148.41023094
SiO-El-50-6;236539.984821171;5434139.51360152
SiO-El-50-9;236467.707776805;5434138.21670227
SiO-El-75-1;236619.768162651;5434122.84404564
SiO-El-75-2;236582.369859019;5434111.43910784
SiO-El-75-3;236637.249228754;5434114.13582855
SiO-El-75-4;236543.115856989;5434119.26826519
SiO-El-75-5;236646.456705667;5434122.05306032
SiO-Mo-225-1;236680.101785543;5433977.55169247
SiO-Mo-225-2;236704.481288643;5433978.85451948
SiO-Mo-225-3;236833.799564487;5433959.84735439
SiO-Mo-225-4;236866.868030938;5433971.08381298
SiO-Mo-225-5;236692.258064598;5433973.16596465
SiO-Mo-50-1;236858.656812439;5434133.67484021
SiO-Mo-50-2;236874.421055441;5434155.69601337
SiO-Mo-50-3;236681.323624334;5434131.00996234
SiO-Mo-50-4;236764.244381805;5434143.91850212
SiO-Mo-50-5;236803.528889815;5434145.90570162
SiO-Mo-75-1;236767.254236023;5434109.1715284
SiO-Mo-75-2;236713.480931426;5434122.36249688
SiO-Mo-75-3;236749.099743784;5434123.22823432
SiO-Mo-75-4;236711.091578642;5434107.11355987
SiO-Mo-75-5;236883.511323594;5434118.19519724
SiO-Pr-225-1;236986.045364597;5433977.76977469
SiO-Pr-225-2;237028.332722484;5433972.78095372
SiO-Pr-225-3;237057.128729824;5433968.69002751
SiO-Pr-225-4;236990.933377599;5433970.8812232
SiO-Pr-225-5;237088.068684932;5433980.07269373
SiO-Pr-50-1;237006.023523695;5434154.82414187
SiO-Pr-50-2;236917.603039336;5434136.1201611
SiO-Pr-50-3;236979.449509358;5434148.56963928
SiO-Pr-50-4;236932.856703803;5434143.45088039
SiO-Pr-50-5;237055.19040081;5434153.1799765
SiO-Pr-75-1;237050.161882917;5434116.06096539
SiO-Pr-75-2;237051.29838143;5434112.78524
SiO-Pr-75-3;236922.109092706;5434126.58979511
SiO-Pr-75-4;236893.017433575;5434132.18652741
SiO-Pr-75-5;237104.331041106;5434127.86784564
